	index	rating	review	Label
880	880	1.0	These are fake	0.0
882	882	1.0	•This air pods are not the 2nd generation they are the fist *DONT•BUY*	0.0
883	883	1.0	This product was marketed as the Airpod 2 but they sent me the old model	0.0
884	884	1.0	In addition, the item paired with my cellphone only once and never worked again	0.0
887	887	1.0	Never worked again	0.0
894	894	1.0	Nothing worked	0.0
902	902	1.0	I’m so pissed	0.0
905	905	1.0	False advertising if your saying “latest model”	0.0
907	907	1.0	Then the left one stopped working entirely	0.0
909	909	1.0	Super disappointed, especially in this seller for not reaching out	0.0
915	915	1.0	This is false advertising	0.0
927	927	5.0	The battery on them is great	1.0
935	935	4.0	They do however sound pretty good and are very easy to use on a daily basis	1.0
938	938	3.0	I had an issue with one of the pods going dead very quick compared to the left one	0.0
965	965	1.0	Also, I inspected my airpods and saw that my pair was USED	0.0
966	966	1.0	Absolutely disgusting	0.0
967	967	1.0	BEWARE	0.0
968	968	1.0	Terrible experience compared to my old stolen ones	0.0
969	969	1.0	The Pairing experience super shoddy	0.0
970	970	1.0	And Syncing between the two earphones: a nightmare	0.0
971	971	1.0	😓 frustrates me everytime, given how rarely it happened in my first gen pair	0.0
982	982	1.0	Don't waste your money on these	0.0
983	983	1.0	So, the first set stopped working within a couple days	0.0
988	988	1.0	What is happening with Apple	0.0
992	992	5.0	I just love my Apple AirPods	1.0
1006	1006	5.0	* NO WIRES (until you need to charge the case itself)	1.0
1007	1007	5.0	* These are the only in-ear headphones I can use, everything else gives me headaches after a short while	1.0
1008	1008	5.0	* They fit snug and very rarely fall out	1.0
1009	1009	5.0	* Charges last half a day of continuous listening to music	1.0
1010	1010	5.0	* Sound clarity is very good	1.0
1015	1015	5.0	* White shows EVERYTHING	0.0
1033	1033	1.0	They worked 2 days then one side stopped working	0.0
1038	1038	1.0	these suck	0.0
1042	1042	3.0	I was excited to give these a try	1.0
1043	1043	3.0	If you can get them to work, the sound is beautiful and clear	1.0
1044	1044	3.0	It was relatively easy to pair the pods to the iPhones	1.0
1060	1060	4.0	I like that it moves so smoothly between apple products	1.0
1064	1064	4.0	But, the big huge downside is the battery life	0.0
1065	1065	4.0	I only get maybe two hours consecutively	0.0
1081	1081	5.0	I actually like these better	1.0
1084	1084	5.0	FIrst off, these are pretty good with noise canceling	1.0
1109	1109	1.0	Don't buy apple products	0.0
1135	1135	2.0	Aside from that the sound quality is fine	1.0
1146	1146	1.0	They are essentially useless now	0.0
1149	1149	1.0	This was definitely one of my best Amazon purchases	1.0
1150	1150	1.0	The sound quality on these is amazing even during phone calls	1.0
1156	1156	1.0	The biggest con for me has been the Bluetooth connectivity	0.0
1161	1161	1.0	For that reason, I'd give these 4/5 stars	1.0
1194	1194	3.0	Apparently, this is an issue with many Airpods	0.0
1204	1204	5.0	I have tried so many other and wasted my money	0.0
1206	1206	5.0	Try them, it is a new experience	1.0
1209	1209	5.0	Great product	1.0
1210	1210	5.0	A little expensive in price, but worth every penny	1.0
1211	1211	5.0	The sound is amazing, they did not look like they have the quality of sound, but they do	1.0
1213	1213	1.0	Still not working, charged them fully, still nothing	0.0
1215	1215	1.0	I returned them for a replacement	0.0
1217	1217	1.0	I really don't want to have to deal with this again	0.0
1220	1220	2.0	If you still have a headphone jack in your phone, don't buy these	0.0
1232	1232	2.0	, the microphone was awful	0.0
1235	1235	2.0	Worst of all, people could not hear me on the other end	0.0
1259	1259	1.0	The previous version did not give me this issue whatsoever	0.0
1263	1263	1.0	Instead, I suspect design and/or software flaws	0.0
1274	1274	1.0	BUYER BEWARE	0.0
1276	1276	1.0	They arrived in perfect condition and sealed box	1.0
1283	1283	1.0	I am returning	0.0
1284	1284	1.0	don't pay this price for refurbished	0.0
1288	1288	5.0	First of all, these are very easy to use	1.0
1289	1289	5.0	The sound is fantastic	1.0
1291	1291	5.0	the sound is clear, balanced, and the bass is very present	1.0
1298	1298	5.0	Pros:Great sound, easy to use, nice size case	1.0
1300	1300	5.0	Also, very secure and comfortable fit	1.0
1301	1301	5.0	Cons: the Voice Memos app on the iPhone is affected	1.0
1315	1315	5.0	I know they’re pricey but they’re that good	1.0
1316	1316	5.0	The sound, the fit, the look, great	1.0
1323	1323	5.0	Highly recommended	1.0
1329	1329	2.0	I wanted comfortable, easy to use, high-quality wireless earbuds	1.0
1335	1335	2.0	It disrupts the sound quality and is really annoying	0.0
1339	1339	2.0	My replacement pair has the exact same problems	0.0
1341	1341	2.0	It's very frustrating to have my music cut out and the poor audio quality	0.0
1359	1359	5.0	I think that is confusing some people	0.0
1398	1398	5.0	I Love My New Toy	1.0
1405	1405	1.0	I just received my air pods, which I was really excited to get	1.0
1409	1409	1.0	When I opened them, I could see they are so obviously used and gross	0.0
1415	1415	3.0	The Bluetooth connection is sometimes unreliable	0.0
1419	1419	3.0	Very frustrating	0.0
1427	1427	1.0	Absolutely ridiculous	0.0
1435	1435	5.0	I LOVE THESE	1.0
1443	1443	5.0	So happy with this purchase - wish I had done it sooner	1.0
1444	1444	1.0	Do not waste your money on buying these	0.0
1446	1446	1.0	The microphone is TERRIBLE	0.0
1451	1451	1.0	Dont fall for this marketing ploy	0.0
1452	1452	1.0	Sad waste of ~$150	0.0
1454	1454	1.0	I received the AirPods today and they paired to my phone as expected	1.0
1461	1461	1.0	I could not get them to pair	0.0
1471	1471	3.0	If that's all you're going to use them for, don't hesitate	1.0
1473	1473	3.0	Primary issue was the device staying in the ear, then sound quality	0.0
1481	1481	3.0	Sometimes they pair, sometimes not	0.0
1483	1483	3.0	The Airpods do not have independent sound control	0.0
1494	1494	3.0	The fit, comfort and sound are well worth the price	1.0
1504	1504	5.0	Very great product	1.0
1506	1506	5.0	If you have the money I recommend getting these l, you will not regret	1.0
1509	1509	1.0	THEN, when I got that package, the AirPods didn't work	0.0
1551	1551	5.0	The fit her smaller ears and keep her cord-free	1.0
1563	1563	1.0	Not acceptable	0.0
1564	1564	1.0	Returning	0.0
1571	1571	4.0	Sound Quality: I would say the sound quality is better than good but not quite excellent	1.0
1572	1572	4.0	I think there is room for improvement in that regard	0.0
1577	1577	4.0	Overall, I would say I'm very happy with my purchase of the AiPods Gen 2	1.0
1578	1578	4.0	Dope	1.0
1579	1579	4.0	once you get them you’ll realize you really needed them	1.0
1580	1580	4.0	lol I know paying $150 is crazy but you’ll see when you get them	1.0
1582	1582	4.0	other than that everything good	1.0
1584	1584	5.0	- great sound quality	1.0
1585	1585	5.0	"- stays in ears (at least mine - i'm a normal sized guy, 5'10"" 190lbs)"	1.0
1586	1586	5.0	- great battery life	1.0
1587	1587	5.0	- fast charging	1.0
1588	1588	5.0	- great noise cancelling	1.0
1606	1606	4.0	Very uncomfortable any longer than that	0.0
1607	1607	4.0	- Sounds quality has a lot to be desired	0.0
1618	1618	1.0	definitely a used item	0.0
1619	1619	1.0	No doubt	1.0
1628	1628	1.0	I will not be buying another set	0.0
1629	1629	1.0	I just wouldn’t recommend	0.0
1630	1630	1.0	These are used AirPods	0.0
1643	1643	1.0	At this price, they should be more reliable	0.0
1646	1646	1.0	A waste of a whole lot of money	0.0
1647	1647	5.0	Good sound, though I’m 63 and not an audiophile	1.0
1649	1649	5.0	Great for walking due to Siri based controls	1.0
1652	1652	5.0	Not exactly a fashion statement in my opinion	0.0
1663	1663	1.0	I've also been disappointed with the battery performance	0.0
1672	1672	1.0	What a horrible experience	0.0
1673	1673	1.0	Waiting for refund	0.0
1674	1674	1.0	The only things in box were instructions and charging cord	0.0
1675	1675	5.0	Easy to set up and easy to use	1.0
1676	1676	5.0	Pods have a substantial weight and feel good in the ear	1.0
1677	1677	5.0	Sound quality is high fidelity	1.0
1695	1695	3.0	Good product for most, but not a good fit for me	1.0
1705	1705	5.0	But they don’t sound bad and the convenience and ease of use is off the charts	1.0
1707	1707	5.0	Battery life is acceptable given their tiny size	1.0
1710	1710	5.0	She loves these things like the sister she never had	1.0
1714	1714	5.0	I’m happy I bought them	1.0
1715	1715	5.0	They also work great for cellular phone calls and for Zoom meetings	1.0
1727	1727	1.0	Love them	1.0
1728	1728	1.0	I was concerned at first that they would fall out but they don’t	1.0
1729	1729	1.0	I use them to work out lifting weights or cardio without them moving	1.0
1730	1730	1.0	Craziness	1.0
1731	1731	1.0	Great sound and battery life	1.0
1732	1732	1.0	If you are looking for noise canceling then these are not the headphones for you	0.0
1738	1738	1.0	We were having problems with one charging	0.0
1742	1742	1.0	Completely annoyed	0.0
1746	1746	1.0	Not sealed in the clear wrap	0.0
1747	1747	1.0	Nasty stuff all over the bottom of the box	0.0
1751	1751	1.0	As far as AirPods, I have a pair and love them	1.0
1753	1753	1.0	Am returning today	0.0
1767	1767	2.0	I love these air pods	1.0
1770	1770	2.0	These sounds great	1.0
1771	1771	2.0	love having no wires	1.0
1772	1772	2.0	They stay in my ears no problem	1.0
1773	1773	2.0	I didn’t want noise cancelling headphones so these are perfect	1.0
1775	1775	2.0	I feel almost unsafe with noise canceling headphones	0.0
1776	1776	2.0	battery life is great	1.0
1777	1777	2.0	I highly recommend buying these	1.0
1782	1782	2.0	great while they lasted	1.0
1785	1785	4.0	They do get a little sore in my ears after a while	0.0
1788	1788	4.0	The sound quality is very good	1.0
1789	1789	4.0	The input quality is better than the standard corded ear buds	1.0
1790	1790	4.0	It picks up my voice better	1.0
1798	1798	4.0	Gross	0.0
1801	1801	5.0	Greatest earphones ever	1.0
1836	1836	4.0	They connect very quickly with all my Apple devices	1.0
1838	1838	4.0	The sound quality is a few steps above some of the other ear buds I've had	1.0
1844	1844	4.0	So far, neither pod has fallen out of my ears	1.0
1851	1851	4.0	" I love, love, love the fact that I can say ""Hey Siri,"" and get so many things done"	1.0
1853	1853	4.0	However, when I said to un mute, that didn't happen	0.0
1856	1856	4.0	This is a really great feature	1.0
1860	1860	4.0	One person said they look like a hair dryer, and they do	0.0
1874	1874	5.0	I love them	1.0
1875	1875	5.0	They are life-changing	1.0
1882	1882	2.0	They worked great, while they worked	1.0
1885	1885	2.0	These were a waste of money	0.0
1889	1889	5.0	That’s pretty incredible for back then	1.0
1908	1908	4.0	Had a bout of bad luck with Apple's AirPods:	0.0
1910	1910	4.0	After about three months, one side stopped working completely	0.0
1913	1913	4.0	This pair wouldn't connect to any phone whatsoever	0.0
1914	1914	4.0	So, I returned them	0.0
1916	1916	4.0	The third pair finally worked as intended	1.0
1917	1917	4.0	Sounds great and I love the battery life	1.0
1924	1924	1.0	It looked and felt authentic	1.0
1927	1927	1.0	After charging them all night the charge only showed 88%	0.0
1929	1929	1.0	Don't waste your time and purchase directly from Apple	0.0
1939	1939	3.0	The battery life is OK	1.0
1942	1942	3.0	They do charge very quickly though	1.0
1943	1943	3.0	I love that	1.0
1956	1956	5.0	) the music sounds great	1.0
1961	1961	5.0	Battery life is pretty good	1.0
1970	1970	2.0	The battery life is not good	0.0
1981	1981	5.0	1) Pairing is effortless and quick	1.0
1982	1982	5.0	2) Quality is amazing - crisp, clear	1.0
1983	1983	5.0	3) Battery life has been great so far	1.0
1985	1985	5.0	4) I don't feel that they are in my ears	1.0
1988	1988	5.0	They've been in my ear for over 3 hours without any discomfort	1.0
1989	1989	5.0	5) Speaking of falling off - they won't	1.0
1992	1992	5.0	), and never had to adjust them	1.0
2000	2000	3.0	Very nice	1.0
2001	2001	3.0	Only ear buds that fit	1.0
2010	2010	3.0	Excellent service	1.0
2011	2011	3.0	They failed again after one use	0.0
2012	2012	3.0	Same problem	0.0
2013	2013	3.0	Bestbuy offered to return them again	0.0
2024	2024	1.0	I received them and they are used	0.0
2027	2027	1.0	And they’re dirty	0.0
2028	2028	1.0	Do not purchase from this seller	0.0
2029	2029	1.0	Used and gross	0.0
2033	2033	1.0	I am returning	0.0
2036	2036	5.0	Comfort	1.0
2037	2037	5.0	For most people, the comfort level is outstanding	1.0
2048	2048	5.0	Worth every penny I think	1.0
2051	2051	1.0	I loved these earbuds	1.0
2055	2055	1.0	Still the same issue	0.0
2068	2068	4.0	I haven’t had this problem, and they fit perfectly	1.0
2072	2072	4.0	They connect to apple devices EXTREMELY easily	1.0
2095	2095	2.0	Disappointed	0.0
2101	2101	1.0	Last drop was battery life	0.0
2111	2111	1.0	I am extremely angry about this purchase	0.0
2115	2115	1.0	Are you kidding me, Amazon	0.0
2120	2120	1.0	I could not be madder	0.0
2132	2132	3.0	They sound amazing	1.0
2136	2136	3.0	The pro model has more fit options and noise cancellation	1.0
2146	2146	2.0	) then you might suffer some hearing damage	0.0
2152	2152	2.0	Very painful	0.0
2159	2159	2.0	When they work, they're really nice	1.0
2170	2170	3.0	Battery Life: ~5 hrs listening time	1.0
2173	2173	3.0	Ease of Charging: SO SIMPLE	1.0
2174	2174	3.0	The magnet inside secures the airpods to the charging electrodes	1.0
2189	2189	3.0	That means I can't connect to my First Gen iPad	0.0
2192	2192	3.0	The shape of the AirPods bothers my earholes	0.0
2198	2198	3.0	Look/Style: The AirPods look dumb as hell	0.0
2209	2209	3.0	Work fine in doors and while I'm at work in the lab	1.0
2220	2220	3.0	Son of a	0.0
2223	2223	1.0	Such a waste of time and money	0.0
2237	2237	3.0	The battery life is good for being so light and small	1.0
2243	2243	3.0	Pretty uncomfortable in the ears too over an extended period of time	0.0
2245	2245	5.0	I purchased these after having to return the AirPods Pro	0.0
2247	2247	5.0	" So, very sadly, I had to return those and ""settle"" for these"	0.0
2248	2248	5.0	I feel very happy with these	1.0
2250	2250	5.0	But Apple has a very solid product here	1.0
2251	2251	5.0	These DO stay in my ears, and are not uncomfortable	0.0
2252	2252	5.0	I like how they automatically pair with my Apple devices	1.0
2253	2253	5.0	Unfortunately, I cannot get them to pair with my work issued laptop	0.0
2258	2258	5.0	Either way, will not work satisfactorily	0.0
2259	2259	5.0	I do use them with my Apple watch, and i love them for that	1.0
2260	2260	5.0	Overall, pretty happy	1.0
2265	2265	4.0	I also struggled to get a good fit in my one ear	0.0
2291	2291	1.0	DO NOT BUY	0.0
2293	2293	3.0	they work great for listing to music and phone calls	1.0
2315	2315	3.0	Best Buy)	1.0
2321	2321	1.0	Been a musician for 30 years without one issue with my ears	1.0
2330	2330	1.0	I called the support phone number and waited too long	0.0
2335	2335	1.0	I don't want these ear pods	0.0
2337	2337	1.0	Mine have problems	0.0
2338	2338	1.0	I want a refund	0.0
2339	2339	1.0	It's not offered	0.0
2354	2354	5.0	I love being able to throw these things in my pocket	1.0
2374	2374	1.0	Box looked iffy	0.0
2379	2379	3.0	These fit exactly the same	1.0
2380	2380	3.0	Many people love that fit, though	1.0
2399	2399	5.0	I love these Airpods	1.0
2400	2400	5.0	I like that they're easy to use	1.0
2406	2406	5.0	The sound is good quality	1.0
2407	2407	5.0	For me, it was worth the money	1.0
2409	2409	5.0	Airpods are the real deal	1.0
2411	2411	1.0	The right one quit working	0.0
2413	2413	1.0	I will be calling and demanding a replacement pair or a refund	0.0
2421	2421	5.0	So the AirPods 2nd generation are real	1.0
2422	2422	5.0	I highly recommend buying this	1.0
2441	2441	4.0	-Integration with other Apple products	1.0
2450	2450	4.0	-Quick charging	1.0
2457	2457	4.0	-They still are not very secure in my ears	0.0
2467	2467	4.0	Overall, I give them 2 thumbs up	1.0
2473	2473	5.0	even the charging case is a sleek looking device	1.0
2481	2481	5.0	What I received is exactly as described	1.0
2484	2484	5.0	I Love them Great Purchase like everything else i order from Amazon👍🏻	1.0
2510	2510	4.0	Great battery life ( over 4 and a half hours average)	1.0
2513	2513	4.0	Fits nicely in ear canal	1.0
2514	2514	4.0	Good sound quality	1.0
2520	2520	4.0	You must manually hit the start button again	0.0
2523	2523	4.0	( I told you this was picky	0.0
2525	2525	4.0	Otherwise a great product that outshines any knockoffs	1.0
2527	2527	4.0	Great quality here and well worth it	1.0
2562	2562	5.0	These are COOL	1.0
2568	2568	5.0	) Sound quality is wonderful	1.0
2575	2575	5.0	They are exactly what I wanted/needed	1.0
2578	2578	5.0	my ears would not be happy	0.0
2602	2602	5.0	They die pretty quickly	0.0
2611	2611	5.0	I must applaud Apple for this one, they did a great job	1.0
2613	2613	5.0	I’m very impressed	1.0
2615	2615	5.0	They also fit really well in my ears	1.0
2616	2616	5.0	THEY ARE EXTREMELY COMFORTABLE	1.0
2625	2625	4.0	I personally find it far more comfortable	1.0
2635	2635	4.0	4/5 for comfort;	1.0
2638	2638	1.0	They are fakes	0.0
2639	2639	1.0	I’m returning then and getting it from Apple	0.0
2640	2640	1.0	Stopped working after only 9 months	0.0
2648	2648	1.0	Finally today it stopped working too	0.0
2650	2650	1.0	I am very disappointed in the crappy quality	0.0
2651	2651	1.0	Apple lost a loyal customer on this one	0.0
2654	2654	5.0	its pretty amazing	1.0
2655	2655	5.0	the sound quality is pretty good	1.0
2658	2658	5.0	its slick and easy to charge and use	1.0
2675	2675	3.0	It just doesn’t feel like they’re worth the money	0.0
2676	2676	3.0	On a positive note, they’re great for phone calls	1.0
2677	2677	2.0	I've always wanted AirPods but found the cost too expensive	0.0
2679	2679	2.0	Unfortunately, I've experienced multiple issues with them	0.0
2684	2684	2.0	I've also had issues with the double tap feature	0.0
2687	2687	2.0	Lastly, they die so quickly	0.0
2689	2689	2.0	I'm pretty bummed that these didn't work out	0.0
2690	2690	5.0	Love these	1.0
2692	2692	5.0	They are super easy to use, very lightweight and they work great	1.0
2700	2700	4.0	Shipping was fast, and packaging was in tact	1.0
2703	2703	4.0	Way better than the other 3 earbud brands I own	1.0
2705	2705	4.0	Music and video sound was crisp	1.0
2709	2709	4.0	Battery life: Kind of short	0.0
2711	2711	4.0	Overall, 5 hours is not bad	1.0
2712	2712	4.0	Fit: They don't fall out of my ears	1.0
2729	2729	3.0	I probably wouldn’t buy them on Amazon again	0.0
2738	2738	2.0	Sometimes newer isn't better	0.0
2753	2753	5.0	You’ll be astonished at what you can hear	1.0
2757	2757	4.0	My friends can hear me very well and I, them	1.0
2762	2762	4.0	Everything about these ear buds is what I hoped	1.0
2763	2763	4.0	quality	1.0
2767	2767	4.0	all are wonderful	1.0
2768	2768	4.0	Ease of connecting to any of my devices	1.0
2769	2769	4.0	WONDERFUL	1.0
2777	2777	4.0	I am so enjoying these airbuds	1.0
2779	2779	1.0	My AirPods keep disconnecting	0.0
2812	2812	5.0	Great decision	1.0
2813	2813	2.0	I love how comfortable these are	1.0
2815	2815	2.0	The battery life is fine	1.0
2823	2823	2.0	The left microphone went out	0.0
2829	2829	1.0	What an absolute waste of money	0.0
2831	2831	1.0	I was also excited about the functionality of the earbuds	1.0
2846	2846	1.0	DON'T BUY THESE	0.0
2849	2849	5.0	The sound quality is great and they’re very convenient	1.0
2859	2859	5.0	Apple quality SHINES once again	1.0
2862	2862	5.0	I had zero issues setting them up with my Iphone	1.0
2864	2864	5.0	They are comfortable to wear	1.0
2870	2870	5.0	I absolutely LOVE THEM	1.0
2888	2888	3.0	That's a big disappointment for me	0.0
2891	2891	3.0	I like the ease of use with Siri	1.0
2895	2895	1.0	How can they sell stuff like this	0.0
2897	2897	2.0	very poor sound quality	0.0
2900	2900	2.0	A big No	0.0
2905	2905	1.0	they do sound very ok for wireless earbuds	1.0
2915	2915	1.0	Airpods are great and make life so convenient with Apple products	1.0
2935	2935	4.0	They worked very well	1.0
2941	2941	4.0	This is not what I found	0.0
2950	2950	4.0	But more importantly: comfort	1.0
2957	2957	5.0	Try them	1.0
2966	2966	5.0	How great is that	1.0
2974	2974	5.0	5 stars – I love it	1.0
2976	2976	5.0	4 stars – I like it	1.0
2978	2978	5.0	I would purchase again	1.0
2994	2994	5.0	They are worth it and more	1.0
2997	2997	5.0	No doubt	1.0
