,name reviewer,review title,rating,review_body
156,Pghmama,"Authentic Product, but Wildly Overrated",1.0,"If I hadn't authenticated the serial number, I'd seriously think I was sold a counterfeit product. Since this is an authentic, new product, I'm just left to believe the product is mediocre at best.

I regularly use my air pods on both iOS and Android devices. The air pods connect relatively quickly and easily to both, but especially with other Apple devices. (For some reason, the max volume is significantly lower on my Android device.) The Bluetooth range is not great with reception starting to break up if you move more than 4-5' away from the phone. The sound is pretty clear, but less than 10 weeks after purchase, individual ear buds will cut in and out or get static-y even while sitting stationary next to my phone. Like other reviewers, my individual ear buds don't seem to charge evenly with one often dying well before the second. I've also been disappointed with the battery performance. The ear buds re-charge quickly when inserted into the case and I'd say I can probably get 5 hours of run time between charges of the *case*, but I struggle to regularly get more than 2 hours of run time per full charge of the ear buds (and oftentimes not even that). Finally, I have no idea how people wear these all the time as I found the shape of the air pods to be tremendously uncomfortable. (Though I am aware accessories exist to mitigate this issue)

I truly don't understand the effuse praise heaped upon air pods. I am deeply underwhelmed."
157,Mr. T,No AirPods in the box.,1.0,"NNO AIRPODS IN THE BOX!!!!
Bought it for my wife’s Christmas present. When opened there was NO AIRPODS in the box !!!!!!!
What a horrible experience!!!! Waiting for refund.
The only things in box were instructions and charging cord."
158,uncle dude,Bluetooth freedom is way better than being wired to the music source,5.0,"Easy to set up and easy to use. Pods have a substantial weight and feel good in the ear. Sound quality is high fidelity. Intuitive controls -tap for next selection, ask it to raise or lower volume and it does. A full charge gives ample battery life for a +/- 6-hour listening session, Recharge quickly and, generally worthy of the Apple brand. Recommend buying an aftermarket accessory kit with a silicone cover for the charger and a lariat to allow you to hang the Airpods around your neck for a short time when you want to.

UPDATE MY REVIEW: I have been enjoying my Apple AirPods for almost a year now and I want to add this to my initial review.
After purchasing my AirPods, I purchased a silicone sleeve for the charger case with came with a Caribiner and a lariat to hold the Airpods and allow them to hang around my neck when I took them out of ears
A few days ago I attached the carabiner to the belt loop of my jeans for an afternoon of cycling and at the end of the day, I tossed the jeans into the wash not realizing the AirPods were still attached to the belt loop. After washing the jeans I threw them in the dryer and within a few minutes, I began to hear something solid banging around in the dryer. Upon opening the dryer, I found the silicone charger case - empty. Searching the clothes, I discovered the charger case with the Airpods inside.
I took the silicone case and the AirPods Charger out of the dryer and was very sure they were destroyed - they were NOT! I opened the case and put the AirPods in my ears and was shocked to discover they worked as well as ever and they had no indication of damge at all.
The AirPods are obviously water-resistant - My thanks to the Apple engineers for anticipating they would be used by careless old men who do some stupid things."
159,LGunter,Won’t stay in my ear,3.0,"The AirPods arrived in great condition, nice packaging but they do not stay put in my ear at all. I attempted to wear one around the house while doing light chores and it fell out several times and required adjusting multiple times. I should have known that these wouldn’t work for me, my regular corded earbuds do the same thing. I don’t imagine that I’d be able to workout or do much of anything without them falling out. I’ll be returning them and purchasing a much more inexpensive pair that allows me to adjust the ear cover for a better fit. Good product for most, but not a good fit for me

Update 5/14/20
So these are advertised as being the latest generation. My case that came with the AirPods have a model number that would indicate the case is 1st generation. The AirPods have different model numbers that would indicate that they weren’t manufactured as pair. There’s something fishy with these although they work. Check your numbers......my settings on my phone show a model number that is in fact different than what’s printed on the actual device. I wouldn’t be surprised if these were refurbished, all the different serial numbers confirm that this wasn’t an original pair because they have different manufacture dates"
160,Social science professor,"Super handy and convenient, everyone with an Apple device should have these",5.0,"As an audiophile, I resisted getting these for a long time. But they don’t sound bad and the convenience and ease of use is off the charts. AirPods are a very well designed and useful accessory to any Apple device. Battery life is acceptable given their tiny size.

I bought them first for my wife, who’s never had true wireless ear buds and doesn’t care as much about sound quality as me. She’s also not particularly into gadgets and tech like I am. She loves these things like the sister she never had.

We both find that they fit well, stay put, and are comfortable, and our ears are very different size & shape.

When I’m doing serious listening to music, I have other earphones I can use. Otherwise, I reach for the AirPods because they’re so easy and a joy to use. I’m happy I bought them.

They also work great for cellular phone calls and for Zoom meetings."
161,Catherine Rohlfing,Range Sucks,1.0,"Let me start this review by saying that I'm using these pods with a Blackberry Priv that has an Android OS, so take that FWIW. Maybe they aren't compatible, or optimally compatible, or whatever since they're an Apple device. I don't know, but the point of having them is to be able to listen to my phone without wires, and they don't allow that very well.

The range is limited, like less than a few feet, and depending on where I'm using them it's less than that. For example, I can be at the gym on an incline bench, set my phone on the floor next to me, and the podcast that I'm listening to cuts out. Maybe there's interference from the gym's piped in music - they work well enough when they're about 10 inches away from me in the rack on the elliptical machine.

This afternoon I was washing my car in my garage. When I was washing the tires I left the phone on the hood of the car, and when I went to wash the rear tires, my podcast cut out. I ended up turning them off them and using the speaker in the phone.

The only time these pods really work is when I'm driving and I have my phone on my lap. YMMV depending on how, when, and where you use them."
162,Wes,*Updated* Love them (no more).,1.0,"Love them! I was concerned at first that they would fall out but they don’t. I use them to work out lifting weights or cardio without them moving. Craziness. Great sound and battery life. If you are looking for noise canceling then these are not the headphones for you.

***Update 10/6/2019***
I have had them about 5 months now and the last 2 months I am having issues with the left ear pod staying charged or connecting. I have gone through all the troubleshooting online of cleaning and reconnecting with it only to happen again and again. It is very frustrating to have both pod's 100% charged at night and then during my workout in the morning the left one dies 20 minutes in."
163,Amazon Customer,Amazon lied to me!,1.0,"Well I bought these “New” off amazon. We were having problems with one charging. Apple was great trying to help, but the serial # is not an Apple # and apparently these were sold as new but they were refurbished. Tell tell sign, this is not our Apple name we assigned them... LIES AMAZON!!!"
164,adam dailey,Be leery. These so not appear new in box.,1.0,"Completely annoyed. I purchased these as a Christmas gift for my daughter. Website made it look like they were coming direct from the Apple store in new condition. I just took them out of the shipping package and this is what the box looked like. Not sealed in the clear wrap. Nasty stuff all over the bottom of the box. A sticker placed over another one that tells me these are “New item.” I’m not believing it for a second. I don’t know what is going on, but I feel like something fishy just happened. As far as AirPods, I have a pair and love them. Just wish this pair would have been new in the package instead of this nasty thing. Am returning today."
165,AJ Mac,Solid purchase,4.0,"I finally got tired of trying to find ear buds that could compare to Apple, and I decided to just spend the money and get Apple. I’m not sorry that I did, but I do wish that I had gotten the Pros. I had Apple phones for years & always promptly gave away the included wired earbuds that come with the phones. They never ever stay in my ear if I move my head at all. The reason I went ahead about bought these anyway is because I found that I could purchase a set of silicone hooks that slip over them to hold the bud in my ear. They are perfect with that little hook which reminds me of the build of my favorite Bose headphones. The hook is simple enough to put on, however…. I don’t love having to take them back off after each listen because they obviously won’t allow the bud to charge in the case. I knew that before I ordered and simply didn’t think it would be as annoying as it is. Bottom line, the ear buds themselves are awesome; best wireless listening experience I’ve ever owned & I am not at all sorry that I bought them. About a month after I got them, my daughter bought the Pros. I put them on one time & was immediately sorry that I hadn’t chosen to pony up the extra money for them. They are worth it & in my personal opinion, actually sound better due to the complete seal in the ear."
166,SaharaJeepguy,Great headphones (update),2.0,"I love these air pods. Price finally came down from the original price when they first came out so I went for them. The last pair of head phones I owned was back when the wired version was around so it’s been a few years. These sounds great.. love having no wires. They stay in my ears no problem. I didn’t want noise cancelling headphones so these are perfect. I like them especially at the gym hearing what’s going on around me. I feel almost unsafe with noise canceling headphones.. battery life is great. I highly recommend buying these

Update:
The right AirPod has been slowly going bad over the last couple weeks and now it’s always at 1% life when I open the up to pair them. That’s with 100% charged case. They’ll start charging when I open the case... great while they lasted. Used indoors only to.. disappointed especially for the price I expect better from Apple"
167,Girl Geek,Wish I had splurged for the Pros,4.0,"They do get a little sore in my ears after a while. I wish the battery lasted just a smidge longer. I generally use them while doing things around the house, and they will last a few hours. The sound quality is very good. The input quality is better than the standard corded ear buds. It picks up my voice better. Noise cancellation is comparable to the standard ear buds.

My biggest complaint is that these were not clean when I received them. I opted for the open box to get a discount on these. The description indicated that the box may have been opened and possibly damaged. However, it did not indicate that the item had been previously used. And especially considering the current pandemic situation, particular care should have been taken to ensure that the item had been cleaned. I spent about 20 minutes scraping ear wax out of the ear buds! Gross! And if you have had any Apple ear bud before, you know that it is very difficult to get into all of those tiny little crevices! I sincerely wish that Amazon had taken a little more care in the processing of returns such as this!"
168,Honest opinion,My life is complete now!,5.0,"Greatest earphones ever!

I don’t know how I ever lived without these, seriously, not just the earphones but the great little case that they come in that charges your ear buds even when it’s not plugged in so perfect to have when you’re traveling.

The ear buds not only allow you you to call people by simply saying “hey Siri” but it answers any questions, it reads and composed text messages if I ask, it plays music etc. etc. Simply ask and you shall receive.

I can now cook with my hands full while dancing to the beat of any song I ask Siri to play, ask Siri to take notes for me or even help give me recipe ideas.

Once you’ve used these you will also ask yourself how you ever lived without it as it makes your life so much easier.

The sound is fantastic along with the noise reduction and whomever I’m speaking with hears me well.
These are pricey but I assure you they are worth every penny you pay."
169,Jenifer,Broke after a few months 👎🏻👎🏻,1.0,"When I initially got the headphones, I was fascinated by how awesome they sounded. I would put them on and could basically hear in HD and the noise cancellation works, even with no music on.

Buuut, that only lasted a few months. I bought them Sept. 2020 and up until about a month ago (2/21), they worked perfectly. Now, the sound only comes out from the little side speakers and not the main ones (it happened to both headphones), so the sound volume was reduced DRAMATICALLY.

Now they just sound like cheap wireless headphones (maybe worse), and the only way to be able to hear it a bit better is by twisting it so the side speaker is facing my eardrum, but that makes it loose, so it falls out easily.

Safe to say, I’m most likely not going to be buying Apple products from Amazon and might just stick to buying them directly from the Apple Store, because it seems like I got a defective pair and I’m not alone."
170,Ramses S. Amador,Best gift,5.0,"I’ve had my own for over a year now and my sister had been dropping subtle hints about getting a pair such as( hey, buy me AirPods) or (did you buy my pods already?) or my favorite ( get my AirPods or I’ll take yours!). Siblings are so funny, anyway since she took mine I figured, this would be the best time to buy a new pair for myself so I did and they arrived rather quickly. Now guess who’s got two thumbs and his old AirPods back?…… THIS GUY!!!!!!!"
171,Dave,Broken,1.0,"These pods were a Christmas gift to a 14y/o who was waiting months for them. They worked half a day. Went through the hassle of 2 appointments at the Apple store, the first trip they said it was the case and gave me a new one without testing it first even though I requested a test. Well, they never worked and had to schedule another trip there and they said it was one of the earpieces and when I explained the first trip the clerk said ""it's never the case"" and was given a new earpiece. Now they work. If known this would have happened and the poor Apple service....I would have rethought the purchase."
172,ComfyShoeMaven,Some Great Features,4.0,"Ever since I switched from Android and PC, I've become Apple-centric. Since Apple products like Apple products, I decided to buy some Air Pods. Amazon's Prime Day price of $114 finally brought them down to what I considered a little bit better price, so I bought them.

Pros:
1. They connect very quickly with all my Apple devices.
2. The sound quality is a few steps above some of the other ear buds I've had. The stereo is good, and while they don't have enough bass for me, they don't sound tinny either.
3. They fit fairly comfortably in my ears, although the right pod fits better that the left one does. Maybe I have an oddly-shaped left ear!
4. So far, neither pod has fallen out of my ears. However, I've worn them mainly in the house, so I don't know how it would be if I was running. That, I'll never know because I don't run anywhere.
5. The case opens very easily, and the pods are fairly easy to remove. I really appreciate this because my Jabra case is so hard to open that I would often have to get my husband to do it for me.
6. I love, love, love the fact that I can say ""Hey Siri,"" and get so many things done. I was watching an Amazon Prime show on my iPad Pro the other day, and I told Siri to mute the volume, and she did it! However, when I said to un mute, that didn't happen. Maybe I need to figure out some other terminology for that. When I said to rewind a couple of seconds, it did that, too. This is a really great feature.

Cons:
1. Other than the price, the one thing that kept me from buying these was how silly they look with that long white stem protruding out the ear. One person said they look like a hair dryer, and they do. I have noticed that the Air Pods Pro have a much shorter stem, and thus they look more normal. I guess when the get down low enough in price, I'll probably buy them and give these to a friend or relative.
2. They don't have noise cancellation, which I would really love to have. I guess I'll have to wait for the Pros for that.
3. I didn't realize that they had wired and wireless charging versions, and I ended up with the wired ones. However, I bought a wireless charging case for less than $10 from Amazon Warehouse, so I'm going to see if that works.

Overall, other than some of the cons I mentioned, I really do like these. They connect quickly, have a pretty good sound, and the hands-free Siri feature is great. However, I would say that if you can afford them, you should get the Air Pods Pro because they look better, and they have more features. If you can't, these would be a great stop-gap measure until the Pros go down in price."
173,AZ Teacher,Fantastic Quality AirPods,5.0,"This is my first pair of AirPods. I love them. They are life-changing! The AirPods arrived in less than 24-hours of ordering. They were packaged in a sleek, white Apple AirPods box. I did not buy the ""noise-canceling"" AirPods, so I cannot rate that feature, but as far as the product appearance, sound quality, ease of use, great fit, easy to pair on Bluetooth, etc. I wholeheartedly give these AirPods 5 shiny gold starts."
174,Earthling,Good while they last,2.0,"You’ll have to buy a new pair in under a year. I bought 4 sets for me and my kids less than a year ago, and 3 of them don’t work anymore, already. They worked great, while they worked. Then in 6 months, 1 air pod starts dying periodically, then permanently, then the other. Now only 1 pair remains, and it’s only because I hardly ever use them. These were a waste of money."
175,Solid Snake,The default choice for a reason,5.0,"I held out for so long on buying a pair of AirPods, I always felt like they were priced a little too high for what you get at the end of the day. I get it now though, their value is more in how these work with all your other Apple hardware than it is from the AirPods themselves.

These are still to this day in 2021, one of the smallest charging cases of a pair of true wireless headphones, even though the design is unchanged from 2016 when they were announced alongside the iPhone 7/7 Plus. That’s pretty incredible for back then.

In the box, you get a standard USB A to Lightning cable, the AirPods and charging case. This is the 2nd generation AirPods with the H1 chip on board for “hey Siri” functionality. It works really well and allows the AirPods to seamlessly switch between any iOS devices, TVOS, WatchOS, and newer MacOS devices. If they are connected to your iPhone and you pull out your iPad to watch a quick video, the audio from that video would be automatically routed through the Airpods. This is after the initial setup, which only requires you to hold down the pairing button and then follow the prompts in the on screen pop ups. If you open the charging case within a few inches of an iOS device, you get a cute little pop up that will display the battery level of both the AirPods and the case. Apple’s software is good and pleasant to use, that is why products like these are worth their premium prices- the tight integration of hardware and software working together to create an amazing experience that is largely unrivaled today by any other tech company.

The sound quality here is good, the open style of these headphones makes it easy to hear the world around you (this can be both good and bad). There are better sounding headphones for this price, but not any that work this way. If sound quality is of great importance, perhaps look at the AirPods Pro or wait a few months until they refresh the base level AirPods with a design that has the ear tips (this is a rumor, but it’s probably a safe bet that the entry level AirPods will get a major design change).

These also tie into Airplay 2, and this allows for audio sharing where one iPhone can play audio on 2 sets of AirPods. There are also other little perks like Siri will read out you iMessages to you (this can be paused or turned off entirely). There is a cool accessibility option called “live listen” you can enable it in control center. This will use your iPhone’s microphones to play the audio it hears into the AirPods. This kind of gives it an ambient or pass through mode like headphones with ANC have.

If you do pick these up in 2021, just be aware that this is a nearly 2 year old product and could be replaced with a newer version as soon as March. No one ever really knows what Apple will release or when, but the chances are high. That said though, the H1 chip is likely to still be used in the soon to be released pair, so there shouldn’t be a huge difference in terms of new features."
176,Mike in Texas,Third Time's the Charm,4.0,"Had a bout of bad luck with Apple's AirPods:

First Pair
After about three months, one side stopped working completely.

Second Pair
The first pair was still within Amazon's return period so I got a replacement set. This pair wouldn't connect to any phone whatsoever. So, I returned them.

Third Pair
The third pair finally worked as intended. Sounds great and I love the battery life. Much better than other Bluetooth equivalents especially for an iPhone. Just wish that I didn't have to go through the misery of two returns!"
177,Rick Blankenship,These don't appear to be an authentic Apple product,1.0,"I was excited to see that these Airpods were part of Amazon's Prime special the other day. I already have a pair but the battery life doesn't quite make it through a full work day. I justified a 2nd pair to hold me over on a full days work.
When I initially got the order I didn't notice anything odd about the packaging. It looked and felt authentic. After taking a careful look at the product, I noticed that the lid was not completely flush with the body on the back side of the charging case. I compared the Apple Air Pods I already have to these and the weight and durability of the plastic seemed different but I couldn't tell for sure. After charging them all night the charge only showed 88%. That was the defining moment that I realized I purchased yet another dupe on Amazon. Don't waste your time and purchase directly from Apple."
178,J,Great for everyday use,5.0,"I purchased these for my husband for father's day. I kept going back and forth between the Bose SoundSport and the Airpods. I have the QC35 and I love them for work since they are noise-cancelling. For my husband's purposes (at work, when doing yardwork, etc.) he did not headphones at the QC35's level. Overall it was the ease of the airpods and the charging case that really drove my purchase. It's been one week (opened them early) and he loves them-- the only hesitation I have is him losing them (so compact!). For everyday use and ease of use with apple products I would definitely recommend."
179,Jasmine,Love them minus the popping noise,3.0,"The battery life is OK. Thankfully, I use one at a time and I can put one away to charge and pop another one in my other ear. I wouldn’t suggest wearing both and expecting to wear them for a long period of time. They do charge very quickly though!! I love that. I noticed this popping noise pretty soon after they arrived. Within the first 24 hours. I contacted Amazon customer service about, spoke with a very nice gentleman who assured me he would call the next day to follow up after suggesting I disconnect and re-pair them with my phone. This did help initially but within that 24 hours, the popping/crackling noise was back. Of course, he never followed up. I went ahead and kept them after reading this is an issue with AirPods. Didn’t want to go through the trouble of returning just for it to happen again. Anyways, I figured I’d hit em where it hurts, the review. Despite the noise, they are great. I use them quite a bit BUT if you find another brand that does the same thing for half the price, that makes sense too!"
180,Michael Bacci,Happy with these,5.0,"I expected to not get the same sound quality out of these as the wired version since they are the same design and it's bluetooth. But, along with my now HD audio Amazon music account (thank you Apple!) the music sounds great! I like the integration with Siri so that she reads texts that come in and announces calls. Double tap feature is configurable, like my left ear is stop/start and right ear is next track. Also, if you take one out, whatever is playing, music or video stops and then starts when you pop it back in. Additionally, I like this ""old"" design because those new squishy rubber tipped things never stay in my ears. Battery life is pretty good. I haven't measured it, but I can usually get away with all day with occasional listening. Cons:
sound is a little less bass heavy, but there still is some, definitely not ""tinny"". Battery could be better, but I mean they are tiny. Very little to complain about really, definitely happy with this purchase, I recommend them."
181,Jerry,Its okay..but there are definitely better ones out there,2.0,"I bought this as a birthday gift for myself and my friend has been raving about AirPods so I wanted to try it for myself. The sound quality is okay but when I listen to death metal, it just sounds like people are screaming. Noise concellation is okay but not as good as the airpod pros. The battery life is not good. I used this airpod for a few hours and it needs to be charged again. This is only for people who is okay with charging their airpod after a few hour use. There are other earbuds that have a better sound quality and a longer battery life."
182,Frugalshopper,Excellent Buy on the way to Applepod ProsS,4.0,"I finally decided to take the plunge and purchase these when they were on sale. I just couldn’t see paying the full retail price for headphones, no matter how good they were supposed to be. Despite the less than perfect fit in my left ear, I do not regret my purchase, the sound is excellent whether you are listening to something, or speaking on the phone. While the battery life can always be improved on devices like these, the wired case makes charging easy (I love how the sound slowly decreases to let you know you battery cycle is nearly at an end). While the cheap in me will likely never be able to justify paying full price for a more advanced and more comfortable version, which the pros are reported to be, I do see me one day upgrading to the Pros if I catch a good sale."
183,Cedar,Why have I waited this long?,5.0,"I am an android user, and I generally stay away from Apple products due to their higher price, and inflexibility of integration with non apple products. My son had a pair of pods, which I tried with my Samsung Galaxy phone - when I saw how great they are, I had to purchase a pair for myself, and I have had it over over a month now.
1) Pairing is effortless and quick
2) Quality is amazing - crisp, clear
3) Battery life has been great so far. I've been listening to audio books while walking for 2-3 hours at a time, and battery lasted more than that without needed to recharge in the case
4) I don't feel that they are in my ears. They are so light and comfortable, that sometimes I have to touch my ear to make sure that they didn't fall off. Any other pods, my ear starts to feel an annoying dull pain after some time - but not with these. They've been in my ear for over 3 hours without any discomfort.
5) Speaking of falling off - they won't. The design is fantastic, so unless you're flicking them off on purpose - they will stay in the ear. I had worked out with them (push ups, stomach crunches, etc.), and never had to adjust them.
6) I am not looking for noise cancellation features with pods, because when I go for walks, I want to be able to hear ambiance noise for awareness. While they not intended to block noise, they do a good job in transmitting strong and clear sound. I often times have to reduce the volume to be able to still hear ambiance noise when outdoors. Next to a busy street, I do need to increase the volume, but that's expected.

I don't use the gestures much, so can't comment on their responsiveness/usefulness, but I feel like a fool for wasting money on knock off brands for a third of the price, to see how terrible terrible their quality is in comparison (sound quality, pairing dependability, comfort). Also, this is not a wireless case, so you will need to charge with a cable.

Overall, this is a solid piece of engineering that I would strongly recommend over any knockoff or other competitors."
184,randy mineo,They work great when they work !,3.0,"Very nice . Only ear buds that fit

* update * after 6 weeks the batteries wouldn’t charge completely .Apple support directed me 3 hours from my house for repair . When I told her there’s a Best Buy 4 miles from my house , she confirmed that they could handle it ! I was told if the problem was not my fault , they would be replaced on the spot . In reality , if you don’t purchase from Best Buy , they send them in for repair .
I really like the product , and am looking forward to their return .
** update ** just received repaired airpods . 2 days . Excellent service . They failed again after one use . Same problem . Bestbuy offered to return them again . I declined. I bought a new pair from Bestbuy and I will return the haunted pair to Amazon tomorrow ."
185,Amazon Customer,Warranty/Support is terrible,1.0,My third set of airPods died and were just three months old. This time I decided to contact Apple online support as many of my friends have had terrible support at the local store. After 35 minutes of back and forth with the online support is was determined that I had to supply my credit card and mail in the airPods so they could determine if they needed to charge me for repairing my airPods that are under warranty. I did not want to supply my credit card as it should not be needed for a three month old product that is under warranty. Therefore Apple informed me that they could not help me. I was very disappointed as now I'm shopping for another brand and having to spend money that I just spend three months ago. The service from large companies just keeps getting worse and worse; which is to bad. We spend a lot of money on these products and just want to enjoy them!
186,Kenneth Anderson,I got a used pair! Gross! Left one doesn’t charge! Do not buy,1.0,"I received them and they are used!!!!!! They pulled up as “Angie’s iPod”. What is this! And they’re dirty! Do not purchase from this seller! Used and gross. I do not know how they sound I won’t wear them.
It’s been 2 weeks! The left one runs out and does not charge all the way up! I am returning!"
187,S. SIMPSON,"Yep! These are Great! Just a few Minor Drawbacks, but Otherwise are as Advertised!",5.0,"As many have said before, the batt life on these Airpods is nothing short of great! The case is the key to extended life. Comfort? For most people, the comfort level is outstanding. My left ear does have issues different from most, so the unit keeps popping out during exercise. Installing the little slip covers seemed to correct this. (Silicon based) I've heard a few complaints regarding sound quality. Not so for me. I just twist them a bit so the main speaker is directed to my ear canal, and the sound is about the best I've heard. These are great for the price, and I predict the Pro version prices will go down after the holidays if you want to hold off and spend up to 50% less. The only real difference with the Pro version is the end pieces. (Will stay in your ears better than standard.) I paid $165.00 for these. Worth every penny I think!"
188,Amazon Customer,"Were great, until they suddenly stopped working",1.0,"Had the airpods for 4 months and they were amazing. Sound quality was great, felt very comfortable, the whole nine yards. I loved these earbuds. After 4 months, without warning it just stopped working. It connects to my Samsung phone, but it doesn't play any sound. Ok weird, I'll just put it back in the case and take it out again (disconnect then reconnect). Still the same issue. Try to unpair the earbuds and pair them back and still nothing. Put the earbuds in the case and held the button to reset it until it gets that amber light and still nothing. I then thought ok maybe it's because I'm not using an iPhone, so I get my old IPhone 6 and try to connect it to that and see if it fixes it and what do ya know nothing. I kept resetting it so many times and I finally got one earbud to play sound. Right earbud plays sound and left one doesn't, ok cool progress. I tried resetting it a couple more times and now the left one plays sound but the right one doesn't. Continued resetting it and now the right earbud plays sound but the left one doesn't. It sucks, but at least I can still use one earbud. I'll continue to try and see if I can get both ear buds to work and if I do I'll update this review, but until then It's a 1 star for me :/"
189,Ian Taylor,"Easy to use, small",4.0,"After having these for about a day, it feels amazing to not have a wire. I can move freely without worrying about pulling my headphones out accidentally, especially while I am at work carrying boxes.

One complaint that some people have is that the airpods fall out or don’t fit their ears. I haven’t had this problem, and they fit perfectly. I haven’t tried to run with them in yet, so I’m not sure how they stay in while I am running.

I do advise being careful when taking them out of the case though. They are really small and they could fall if you don’t grab them when they come off the charger in the case.

They connect to apple devices EXTREMELY easily. All that is required is you open the case and hold it up near your device while the case is opened, and pair from the popup on your phone. Regular bluetooth connections are possible by holding the button down on the back of the case."
190,Karl E. Kristjánsson,"It's Airpods, everyone should have a pair",5.0,"This is my third pair of Airpods, which may seem strange to some, given they first came out in 2016, however if you use these as much as I do you will wear the battery out over time. Since the charging case is pocket size you can always carry these with you and since the case contains a seperate battery they're always charging in your pocket. Connecting is a breeze, 1. Open flap, 2. Do you wish to connect airpods ? -> Connect 3. Done...

Airpods with or without wireless charging case?
I have a wireless charging pad and a lightning cable next to my bed and rarely used the pad for wireless charging of these, would just stick with the lightning charged case if you don't need a full charge every day. I only need to charge weekly and since you can charge the case without having the airpods in the case I sometimes plonk it in the charger when I'm going to do stuff around the house and want to use the airpods.

Airpods or Airpods Pro ?
I have both kinds and I really like both types, for different scenarios. When using public transport or really need noise cancelling the Pro's shine, however for extended use, > 1 hour, when riding a bike, out for a walk, eating and listening I go for the classic airpods, they're just more comfortable to wear, you barely know they're there...."
191,Mom of 6,I really hate pairing these ...,2.0,"Inevitably, one of the airpods always stops working, but it is not always the same one. It swtiches ears. It takes several attempts to unpair and re-pair to get them both to work. I wear them to run. I have sometimes gotten less than a mile into my run when one quits working. It is ridiculous. I paid the extra money thinking they would function as expected. Disappointed."
192,Ingrid,Don’t get fulled by the price.,1.0,"I had first generation AirPods and they lasted almost two years. I was planning to buy new pair but I wasn’t in the rush because they still worked, sound was decent and battery would last me 2-3 hours before I had to put them on the charger. Somehow I misplaced them so instead of looking for them, I decided to buy a pair on Amazon. They were cheaper than Apple store so I thought I was getting good deal, NOT! First of all, sound is really bad, there is static in the background and I’m hearing an echo of some unknown music (not what I’m listening). Last drop was battery life. First time it happened I thought that my daughter might have used my AirPods and drained my battery. This time I fully charged them, charging station and AirPods were 100% charged. I placed them in my purse where they will be safe, and not borrowed by teenager. They were sitting in my purse for 4-5 days, not being used at all so they should be fully charged. Well the light was green for a few seconds, then it changed to orange. Pods were not connecting to my phone even though I tried to connect them by holding button in the back of charging station. I even tried to forget device on my phone, then reconnect, but at that point orange light on the charging station disappeared, and that happens only if they are completely drained, dead. Today they will be going back to Amazon. I don’t want another pair, I want full refund, and I’ll be buying a new pair from good old Apple store."
193,Terri White,No air pods in box!!,1.0,"I am extremely angry about this purchase! I anxiously awaited this package as I accidentally washed and dried my son's air pods. The package finally arrives (1 week after ordered Amazon Prime) and the only thing in the box was a charging cable!!!! No air pods at all! Are you kidding me, Amazon? Either you have a thief working for you or you think you can rob me! The box was torn on one end. I was okay with that but then I opened it and it was empty cardboard inside with a charging cord underneath. I didn't even order a charging cord. I could not be madder!!!!!!! I would give it a negative 1,0000000000000000 stars!!!!"
194,Ashley,Misleading ad for WIRED airpods.,1.0,"I opened them and thought “Oh no, the charging case is missing and realized that they’re wired. All the the pictures and reviews on the selling page are of wireless AirPods. The box looks like wireless AirPods but they’re wired. The ad says AirPods with wired charging case... wired AirPods don’t have a charging case at all so even though the title said wired everything else about the ad and the description is more wireless AirPods. I feel extremely misled. The ad even talks about battery life and talk time which doesn’t even apply to a wired set of AirPods."
195,Ben Willocks,"Good sound, bad fit",3.0,"First the good- sound quality and ease of use are amazing. Yes, this was a genuine Apple product, I verified the serial number before I opened the box. They connected to my phone right away, no weird extra steps to pair. They sound amazing. They are not noise canceling- I thought that wouldn’t be as big of a deal as it is. Now for the reason I’m upgrading to the pro model- the fit is awful. The right AirPod hurts my ear after only a few minutes of use. The pro model has more fit options and noise cancellation. I am glad that I tried these because they are by far the easiest Bluetooth ear buds I’ve ever used, the sound is great, and if they fit better I’d be 100% sold. So there you go. Give them a try for sure, but once you do, you may want the better set. And GET APPLE CARE. I work on the repair side of things and we send them out all the time. I would not think to get these without the added protection."
196,Nublet,Not my favorite. Buggy.,2.0,"I have problems with the Audio becoming desynced and some annoying issues with old firmware. There was also a rather nasty bug with the model I received. It nearly made me deaf - if you don't know to update the thing (which is a problem for Android...) then you might suffer some hearing damage. I used them for days with the bug and was on the cusp of returning them. The bug is that the audio defaults to maximum volume - with any device (iOS, Android, etc) - until the software is updated. This volume setting reverts to maximum everytime the device enters a power saving state. They sleep aggressive (like maybe 5 seconds of silence). So, if you're streaming music and it takes more than 5 seconds to fetch the next song -- you're getting blasted at full volume force from a device directly inserted into your ear. Very painful. Again, if you just update them they're fine. I was able to reproduce the problem on multiple devices and it wasnt until I updated my airpods that the problem went away. Now the only problem I have is the occasional desync of audio. It's easily fixed and a lot of other people have the same issue sadly. I have noticed that holding the phone differently affects the rate at which desync occurs, so probably just something with signaling. Leaving the phone flat and uncovered/held remedies my issue. When they work, they're really nice. But overall the initial frustrations really took it's toll on my ability to like this product. Hopefully there's better QA on the next generation."
